BRAND,PRICE,IMAGE
Lenovo ThinkBook,3299,https://alta.ge/images/thumbnails/270/250/detailed/227/117238_1.jpg?t=1645093472
Asus E510MA-BR698,1299,https://alta.ge/images/thumbnails/270/250/detailed/242/124780_1.jpg?t=1637760744
HP 15-da3000ny,1699,https://alta.ge/images/thumbnails/270/250/detailed/241/112194_1.jpg?t=1636717863
Dell Vostro,2599,https://alta.ge/images/thumbnails/270/250/detailed/246/127050_1_0q3d-rr_7a96-7k_fwrr-s3.jpg?t=1644611499
Lenovo IdeaPad,2499,https://alta.ge/images/thumbnails/270/250/detailed/245/110836_1.jpeg?t=1646771799
Dell Vostro,2599,https://alta.ge/images/thumbnails/270/250/detailed/246/127050_1_0q3d-rr_7a96-7k_fwrr-s3.jpg?t=1644611499
Dell Vostro,1699,https://alta.ge/images/thumbnails/270/250/detailed/246/127050_1_0q3d-rr_7a96-7k_fwrr-s3_jyiz-zb_8i6z-ko.jpg?t=1644611499
Asus X515JA-EJ2148,3399,https://alta.ge/images/thumbnails/270/250/detailed/247/126836_1_c55c-7g.jpg?t=1650446973
Acer Swift,2169,https://alta.ge/images/thumbnails/270/250/detailed/246/127022_1.png?t=1644697882
Asus VivoBook,2799,https://alta.ge/images/thumbnails/270/250/detailed/248/124333_1.png?t=1649449025
Dell Vostro,2999,https://alta.ge/images/thumbnails/270/250/detailed/246/127054_1.png?t=1650526512
Lenovo ThinkPad,2899,https://alta.ge/images/thumbnails/270/250/detailed/246/126750_1.png?t=1644783433
Dell Vostro,1749,https://alta.ge/images/thumbnails/270/250/detailed/246/127050_1_0q3d-rr_7a96-7k_fwrr-s3_jyiz-zb_8i6z-ko_xocb-xw.jpg?t=1644611499
HP Envy x360,2999,https://alta.ge/images/thumbnails/270/250/detailed/248/126859_1.jpeg?t=1647350724
Acer Aspire,1879,https://alta.ge/images/thumbnails/270/250/detailed/242/112718_1_1lem-9j_yhs8-ao_kq2p-f2_3e34-cp_x7wq-ik.jpg?t=1638429050
Asus X515MA-BR426,1399,https://alta.ge/images/thumbnails/270/250/detailed/247/117731_1_fiar-t8.jpg?t=1644856380
Acer Aspire,1599,https://alta.ge/images/thumbnails/270/250/detailed/243/125933_1.png?t=1640204215
Lenovo Ideapad,2399,https://alta.ge/images/thumbnails/270/250/detailed/246/118786_1.jpg?t=1649354020
Asus E510MA-EJ641,1699,https://alta.ge/images/thumbnails/270/250/detailed/242/124779_1.jpg?t=1637761248
Apple MacBook,3999,https://alta.ge/images/thumbnails/270/250/detailed/243/113957_1.jpg?t=1639426923
Asus E410MA-BV1517,1299,https://alta.ge/images/thumbnails/270/250/detailed/243/121279_1.jpg?t=1639685918
Lenovo ThinkPad,4399,https://alta.ge/images/thumbnails/270/250/detailed/239/123646_1.png?t=1633983380
Lenovo V15-IIL,3199,https://alta.ge/images/thumbnails/270/250/detailed/234/115102_1.jpg?t=1636160435
